FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
.well-known/security.txt,https://google.com/.well-known/security.txt,,710,200,246,7,7,
accounts,https://google.com/accounts,,858,200,97898,7919,1868,
answers,https://google.com/answers,,1237,200,2912,211,86,
activity,https://google.com/activity,,865,200,189481,3568,533,
blog/wp-login.php,https://google.com/blog/wp-login.php,,1564,200,230870,61899,4981,
blog/wp-content/backups,https://google.com/blog/wp-content/backups,,1562,200,230870,61899,4981,
blog,https://google.com/blog,,1559,200,230870,61899,4981,
blog/error_log,https://google.com/blog/error_log,,1560,200,230870,61899,4981,
blog/wp-login,https://google.com/blog/wp-login,,1563,200,230870,61899,4981,
blog/wp-content/backup-db,https://google.com/blog/wp-content/backup-db,,1561,200,230870,61899,4981,
crossdomain.xml,https://google.com/crossdomain.xml,,1975,200,235,9,6,
custom,https://google.com/custom,,1982,200,17385,357,19,
docs,https://google.com/docs,,2219,200,97943,7924,1869,
images,https://google.com/images,,2644,200,16670,336,18,
index.html,https://google.com/index.html,,2695,200,17328,357,19,
health,https://google.com/health,,2571,200,89580,14916,1576,
local,https://google.com/local,,2929,200,40883,621,72,
mail,https://google.com/mail,,3063,200,102591,8324,1987,
moderator,https://google.com/moderator,,3190,200,744638,21535,3708,
mobile,https://google.com/mobile,,3180,200,236566,35834,5054,
password,https://google.com/password,,3396,200,787166,21125,3764,
services/,https://google.com/services/,,4010,200,593,80,18,
services,https://google.com/services,,4007,200,593,80,18,
sms,https://google.com/sms,,4088,200,3455,934,107,
security,https://google.com/security,,3966,200,40270,7426,784,
profiles,https://google.com/profiles,,3755,200,98090,7924,1869,
script,https://google.com/script,,3938,200,7500,1860,171,
tools,https://google.com/tools,,4453,200,299332,28982,2296,
workspace/uploads,https://google.com/workspace/uploads,,4795,200,131324,45469,2070,
webmaster,https://google.com/webmaster,,4748,200,100069,29324,3991,
